Peak Date,Title,Streams,Global,US,GB,CA,AU,DE,MX,NL,BR,SE,FR,ES,IT,PH,DK,NO,NZ,IE,CL,AR,PT,CH,BE,ZA,TR,FI,PL,CO,SG,PE,IN,ID,MY,AT,GR,CR,IL,TW,RO,HU,DO,HK,EC,AE,CZ,IS,PA,GT,HN,BG,LT,JP,LV,SA,SK,PY,SV,NG,MA,TH,EE,BO,UY,RU,LU,NI,EG,MT,CY,KR,VN,PK,UA,VE,KZ,AD
5/20/2016,One Dance,"1,871,992,065",1,1,1,1,1,1,1,1,2,1,1,2,1,2,2,1,1,1,1,3,1,1,1,99,1,2,1,1,1,1,23,6,2,1,1,1,120,5,96,2,1,1,1,53,1,1,1,1,1,1,1,17,1,158,1,1,1,169,162,192,1,1,2,--,1,1,--,1,1,--,--,117,--,--,--,1
1/26/2018,God's Plan,"1,449,704,994",1,1,1,1,1,1,15,1,18,1,1,11,4,17,1,1,1,1,40,39,1,1,1,175,4,4,2,22,3,57,131,4,2,1,1,7,1,8,1,3,3,2,41,91,5,1,3,21,3,1,1,21,1,121,2,19,8,--,--,13,1,34,53,--,1,8,135,1,1,--,17,--,--,--,--,--
7/20/2018,In My Feelings,"855,714,928",1,1,1,1,1,2,2,2,5,1,2,12,5,1,1,1,1,1,15,8,1,1,1,200,1,3,8,7,1,9,191,1,1,2,1,1,1,1,1,1,2,1,7,182,2,1,2,4,1,1,1,3,1,187,1,6,1,--,--,1,2,6,16,--,1,1,--,1,1,--,5,--,--,--,--,--
1/14/2020,* Life Is Good,"762,261,183",3,2,3,1,10,12,152,18,131,20,38,96,75,66,8,9,13,8,182,178,8,3,15,3,100,15,82,110,27,--,45,136,27,10,2,59,7,57,3,12,38,13,171,6,24,3,55,122,57,1,6,115,6,20,17,157,105,--,7,70,7,163,181,142,4,123,11,3,4,--,79,--,61,--,--,--
10/12/2018,* MIA,"721,162,312",1,2,13,2,31,23,1,26,94,16,8,2,13,80,28,27,48,32,1,2,5,1,10,--,101,35,57,1,22,2,55,116,36,37,5,1,4,17,4,13,1,11,1,--,20,37,1,1,1,3,10,25,27,--,13,1,1,--,--,57,16,1,2,--,2,1,--,1,3,--,31,--,--,--,--,--
5/1/2020,Toosie Slide,"680,277,365",2,1,1,1,1,1,59,2,31,3,5,61,14,9,1,4,1,3,57,74,1,1,3,1,36,5,10,58,1,93,4,26,2,1,1,19,1,10,1,3,15,2,68,1,5,1,20,64,26,1,1,68,1,7,4,59,47,--,1,34,1,60,103,12,1,45,9,1,1,--,35,--,13,--,--,--
4/13/2018,Nice For What,"668,504,357",1,1,1,1,1,7,101,6,69,4,20,67,61,44,2,5,1,2,151,183,8,3,4,--,28,13,39,86,20,152,--,58,19,6,3,57,1,7,4,7,27,4,126,--,17,2,44,110,53,2,4,66,2,--,8,110,82,--,--,34,3,98,152,--,1,79,--,5,2,--,47,--,--,--,--,--
2/27/2016,* Work,"659,022,205",1,1,1,1,2,3,1,1,1,1,1,1,1,1,1,4,1,2,1,1,1,2,2,--,1,10,2,1,3,1,--,2,5,8,1,1,--,3,--,4,1,4,1,--,6,1,1,1,1,1,2,50,7,--,3,1,1,--,--,--,3,1,1,--,1,1,--,2,1,--,--,--,--,183,--,2
10/31/2015,Hotline Bling,"598,802,339",2,1,2,1,1,6,3,6,2,12,3,10,6,6,3,10,2,5,12,25,4,5,5,--,4,14,5,13,6,9,--,45,6,13,4,5,--,5,--,8,2,5,12,--,12,2,4,6,2,3,4,--,3,--,6,3,4,--,--,--,4,6,14,--,4,3,--,3,3,--,--,--,--,--,--,--
12/5/2018,* Going Bad,"595,913,858",11,2,14,2,28,66,--,69,--,54,131,--,187,112,47,51,26,24,--,--,47,28,29,68,178,50,159,--,69,--,--,190,74,64,5,138,10,61,9,27,122,27,--,85,53,37,164,--,--,5,11,191,14,160,35,--,--,--,138,107,39,--,--,--,12,--,--,22,6,--,109,--,--,--,--,--
3/16/2018,* Look Alive,"586,887,330",6,3,9,2,16,36,157,32,168,29,85,110,85,83,26,19,13,14,--,--,10,14,15,--,71,55,78,156,50,--,--,95,56,37,4,64,8,67,5,26,54,28,--,--,34,7,62,133,66,5,10,122,9,--,23,141,115,--,--,79,18,187,--,--,6,90,--,9,4,--,69,--,--,--,--,--
3/21/2017,Passionfruit,"562,416,264",2,1,3,1,2,10,23,6,74,8,4,51,18,18,3,20,3,3,91,86,6,6,6,174,8,28,8,54,13,89,--,24,14,14,3,40,--,17,198,11,7,9,49,116,13,2,15,52,20,2,2,9,4,--,7,70,42,--,--,--,4,47,91,--,4,39,--,4,4,--,--,--,--,--,--,--
8/15/2020,Laugh Now Cry Later,"552,191,496",2,2,3,1,3,22,--,20,112,13,64,131,74,83,19,8,4,6,--,--,11,5,18,1,--,37,156,163,18,--,53,192,24,17,16,81,20,66,8,15,39,10,--,3,66,4,51,--,86,7,9,174,8,39,36,196,167,--,13,106,19,--,--,44,3,151,41,--,6,116,113,--,35,--,--,--
8/5/2016,Too Good,"548,427,652",5,2,2,2,2,14,24,5,40,12,18,51,23,27,8,26,3,5,22,34,8,9,6,--,15,56,17,23,18,17,--,27,35,19,7,16,--,21,--,19,5,16,27,--,18,8,10,17,13,7,8,13,5,--,13,42,26,--,--,--,8,24,42,--,6,11,--,6,6,--,--,--,--,--,--,--
6/21/2019,Money In The Grave (Drake ft. Rick Ross),"533,957,047",5,1,15,1,5,48,--,37,--,67,126,171,155,80,28,29,6,20,--,--,34,22,25,6,148,52,141,--,34,--,25,168,47,48,18,104,16,54,6,11,99,9,--,6,30,33,111,--,131,7,10,108,9,28,15,--,--,--,9,85,22,--,--,--,9,--,7,5,9,--,102,--,168,--,--,--
5/18/2018,* Yes Indeed,"528,596,955",12,2,56,3,52,117,--,114,--,84,147,--,--,--,76,92,42,60,--,--,60,58,55,167,--,143,--,--,187,--,--,--,170,111,21,190,43,152,19,55,112,130,--,--,100,56,115,--,187,19,32,171,33,--,71,--,--,--,--,167,54,--,--,--,21,--,--,43,29,--,--,--,--,--,--,--
10/28/2016,Fake Love,"523,119,401",7,1,6,2,9,46,34,19,64,30,52,65,43,22,11,35,6,17,131,152,12,13,18,--,28,65,20,75,23,99,--,27,24,40,5,55,--,22,--,18,30,19,99,--,20,6,32,58,37,8,7,14,10,--,15,90,58,--,--,--,17,59,121,--,9,47,--,12,8,--,--,--,--,--,--,--
6/29/2018,Nonstop,"507,301,944",1,1,2,1,5,24,62,16,47,17,20,100,54,60,16,23,5,7,104,118,5,3,6,114,33,33,33,82,28,123,--,107,28,15,1,31,3,44,1,18,15,11,107,125,23,3,25,57,28,1,3,77,3,134,11,81,55,--,181,59,7,98,99,--,3,43,--,4,2,--,49,--,--,--,--,--
6/17/2022,Jimmy Cooks,"501,440,423",7,2,4,1,4,16,--,27,--,42,121,--,124,--,27,42,3,10,--,--,25,5,28,1,--,61,194,--,38,--,--,--,107,12,35,81,24,190,12,53,54,123,--,3,165,4,84,--,114,5,9,--,5,22,52,--,--,31,26,--,7,--,--,--,5,173,47,--,13,47,--,27,--,147,119,--
